team,elo,rank
France,2308.038429149225,1
Argentina,2243.788172457386,2
Spain,2211.6250221298924,3
England,2167.500511961926,4
Brazil,2158.348325652311,5
Colombia,2130.824315419012,6
Morocco,2128.083492417096,7
Netherlands,2111.4728363285562,8
Switzerland,2085.891314297588,9
Norway,2083.2898104397186,10
Mexico,2070.842929400897,11
Portugal,2060.5640848975686,12
Ecuador,2044.106048426702,13
Germany,2032.1771975737538,14
Turkey,2026.4303695955932,15
Croatia,2009.570059677994,16
Japan,2005.8854761477996,17
Australia,2002.3503133233025,18
Ivory Coast,1985.8085475680998,19
Belgium,1984.9639081186447,20
Paraguay,1978.6496960700365,21
United States,1978.4595568974096,22
Senegal,1969.2298796639623,23
Nigeria,1958.1247222777868,24
Egypt,1936.6740890468204,25
DR Congo,1934.8625492691642,26
Algeria,1926.0521073770599,27
Austria,1912.7608124949375,28
Iran,1908.0319240451238,29
Kosovo,1907.8482953748453,30
Italy,1896.8818371407688,31
Denmark,1892.331886272992,32
Sweden,1884.3179320126706,33
Uruguay,1871.4601970190681,34
Scotland,1864.1363476118709,35
Russia,1858.7641865169649,36
Republic of Ireland,1853.9463560893535,37
Canada,1850.788918760203,38
Chile,1844.690445178105,39
Ghana,1825.5970946505215,40
Jersey,1819.3088144471478,41
South Korea,1812.3988101087718,42
Yugoslavia,1811.1578813542383,43
Venezuela,1810.5803110460513,44
Bosnia and Herzegovina,1806.946529942658,45
Cape Verde,1804.3622633707441,46
Basque Country,1796.6894755202095,47
Poland,1783.5548761973703,48
Ukraine,1775.4415834663416,49
Saudi Arabia,1771.7635268091549,50
Peru,1761.8212625657945,51
South Africa,1760.3000233376792,52
Bolivia,1754.8563390469055,53
Isle of Man,1749.8606503379795,54
Hungary,1749.2751308956942,55
Greece,1748.5022227891752,56
Mali,1747.9199033752716,57
Occitania,1737.0594026525928,58
Czechoslovakia,1735.4020207305234,59
Israel,1716.5650259420534,60
Wales,1715.6827670944692,61
Northern Cyprus,1714.91077582158,62
Haiti,1711.7230701409787,63
Guernsey,1711.2579658212846,64
Panama,1709.8116041737637,65
Czech Republic,1709.724257457019,66
Burkina Faso,1707.681018256077,67
Guatemala,1706.5989894709724,68
Honduras,1702.4902551014466,69
Cameroon,1701.081013314095,70
Jordan,1700.1030111629393,71
Isle of Wight,1697.6960504718438,72
Curaçao,1697.0380610399932,73
Slovakia,1696.7220402319845,74
Serbia,1694.6720840138203,75
Jamaica,1691.4632868499057,76
United Arab Emirates,1691.4031186498808,77
Iraq,1689.5614054916653,78
Ynys Môn,1688.8220851214558,79
Slovenia,1683.5505311999607,80
Uzbekistan,1682.0688645194393,81
Northern Ireland,1679.7089414081727,82
Palestine,1679.0424597356393,83
Albania,1677.541960712665,84
Belarus,1676.8849129470773,85
Costa Rica,1671.873626063391,86
New Zealand,1670.5996196934543,87
Kárpátalja,1669.2124967186853,88
Padania,1667.0721697688628,89
Iraqi Kurdistan,1661.0382125721615,90
Iceland,1657.7005192476968,91
Abkhazia,1654.787195826832,92
German DR,1654.7583534965,93
Syria,1643.5051125821649,94
Tunisia,1641.4488125312164,95
Suriname,1637.0982721847886,96
County of Nice,1634.3502851870403,97
Georgia,1631.031069019045,98
Catalonia,1623.996095777291,99
Tamil Eelam,1619.9817329539521,100
Niger,1617.8172297400324,101
North Macedonia,1609.045460032114,102
Romania,1608.3738840444455,103
Panjab,1606.5788335109662,104
New Caledonia,1606.5236008383604,105
Madagascar,1601.4703458118588,106
Kurdistan,1601.2411865071465,107
Libya,1591.591946474241,108
Quebec,1588.541188882384,109
Benin,1583.3994202714991,110
Uganda,1583.064906711469,111
Oman,1582.9588991788683,112
Gambia,1581.2957965970022,113
Zanzibar,1579.0463145171148,114
Artsakh,1578.5315542403937,115
Ellan Vannin,1576.2131787644669,116
Yorkshire,1575.919598406598,117
Corsica,1575.8230963116077,118
Chameria,1575.0367784708637,119
Kazakhstan,1572.9018479718395,120
Arameans Suryoye,1572.6865077168484,121
Cascadia,1572.2773599258928,122
Réunion,1568.897509607339,123
Faroe Islands,1567.072198534508,124
China,1564.119098118735,125
Gabon,1562.0495917903622,126
Guinea,1558.3247213691732,127
Kernow,1557.7474990130063,128
Andalusia,1556.9723137698084,129
Angola,1553.8297096779038,130
Qatar,1551.7384888343863,131
Nicaragua,1551.4366344946836,132
Guadeloupe,1549.678163284008,133
Kyrgyzstan,1548.6992167791304,134
Rhodes,1548.3959439113823,135
Maule Sur,1543.7297755996217,136
Trinidad and Tobago,1543.2560126869087,137
Shetland,1539.5185159679002,138
Menorca,1537.5300514236753,139
Bulgaria,1537.4555498373186,140
Indonesia,1534.6927405509896,141
Western Armenia,1534.1619794142748,142
Malaysia,1526.7345948878758,143
Finland,1526.2860101016827,144
Biafra,1523.7837833218305,145
Surrey,1522.9985523667322,146
Donetsk PR,1522.1292671747003,147
Guyana,1519.5190135875907,148
Elba Island,1518.3974916816119,149
Parishes of Jersey,1517.9422851188272,150
Mapuche,1514.4828440203319,151
Togo,1512.8268400426332,152
Felvidék,1512.2550911431256,153
Asturias,1509.5307245333597,154
Liberia,1507.7456941361413,155
Sierra Leone,1507.5476967483241,156
Thailand,1507.0757905655216,157
Canary Islands,1505.8621558474217,158
Crimea,1502.3800898512634,159
Silesia,1501.4885355849704,160
Brittany,1500.3900230073102,161
United Koreans in Japan,1498.2779868256277,162
Central Spain,1497.5779981244073,163
Galicia,1497.203853624639,164
Délvidék,1495.732052038527,165
Gozo,1494.7101325618,166
Kuwait,1494.1197860878622,167
Székely Land,1491.801411024304,168
North Korea,1489.7759812723275,169
Republic of St. Pauli,1489.5782356982593,170
Zambia,1487.8550441302216,171
Mayotte,1487.6994310827977,172
Cilento,1487.1555457951665,173
North Vietnam,1486.6546521026742,174
Saugeais,1486.41354976229,175
Luhansk PR,1486.3944454368943,176
South Ossetia,1484.411861749307,177
Sealand,1482.5853033399883,178
