team,group,played,won,drawn,lost,gf,ga,gd,pts,qualified,position
Mexico,A,3,3,0,0,6,0,6,9,Q,1
South Africa,A,3,1,1,1,2,3,-1,4,Q,2
South Korea,A,3,1,0,2,2,3,-1,3,M,3
Czech Republic,A,3,0,1,2,2,6,-4,1,E,4
Switzerland,B,3,2,1,0,7,3,4,7,Q,1
Canada,B,3,1,1,1,8,3,5,4,Q,2
Bosnia and Herzegovina,B,3,1,1,1,5,6,-1,4,M,3
Qatar,B,3,0,1,2,2,10,-8,1,E,4
Brazil,C,3,2,1,0,7,1,6,7,Q,1
Morocco,C,3,2,1,0,6,3,3,7,Q,2
Scotland,C,3,1,0,2,1,4,-3,3,M,3
Haiti,C,3,0,0,3,2,8,-6,0,E,4
United States,D,2,2,0,0,6,1,5,6,Q,1
Australia,D,2,1,0,1,2,2,0,3,,2
Paraguay,D,2,1,0,1,2,4,-2,3,,3
Turkey,D,2,0,0,2,0,3,-3,0,,4
Germany,E,2,2,0,0,9,2,7,6,Q,1
Ivory Coast,E,2,1,0,1,2,2,0,3,,2
Ecuador,E,2,0,1,1,0,1,-1,1,,3
Curaçao,E,2,0,1,1,1,7,-6,1,,4
Netherlands,F,2,1,1,0,7,3,4,4,,1
Japan,F,2,1,1,0,6,2,4,4,,2
Sweden,F,2,1,0,1,6,6,0,3,,3
Tunisia,F,2,0,0,2,1,9,-8,0,E,4
Egypt,G,2,1,1,0,4,2,2,4,,1
Iran,G,2,0,2,0,2,2,0,2,,2
Belgium,G,2,0,2,0,1,1,0,2,,3
New Zealand,G,2,0,1,1,3,5,-2,1,,4
Spain,H,2,1,1,0,4,0,4,4,,1
Uruguay,H,2,0,2,0,3,3,0,2,,2
Cape Verde,H,2,0,2,0,2,2,0,2,,3
Saudi Arabia,H,2,0,1,1,1,5,-4,1,,4
France,I,2,2,0,0,6,1,5,6,Q,1
Norway,I,2,2,0,0,7,3,4,6,Q,2
Senegal,I,2,0,0,2,3,6,-3,0,E,3
Iraq,I,2,0,0,2,1,7,-6,0,E,4
Argentina,J,2,2,0,0,5,0,5,6,Q,1
Austria,J,2,1,0,1,3,3,0,3,,2
Algeria,J,2,1,0,1,2,4,-2,3,,3
Jordan,J,2,0,0,2,2,5,-3,0,,4
Colombia,K,2,2,0,0,4,1,3,6,Q,1
Portugal,K,2,1,1,0,6,1,5,4,Q,2
DR Congo,K,2,0,1,1,1,2,-1,1,,3
Uzbekistan,K,2,0,0,2,1,8,-7,0,E,4
England,L,2,1,1,0,4,2,2,4,,1
Ghana,L,2,1,1,0,1,0,1,4,,2
Croatia,L,2,1,0,1,3,4,-1,3,,3
Panama,L,2,0,0,2,0,2,-2,0,E,4
