team,group,win_probability,win_pct,simulated_wins,elo,rank
Argentina,J,0.114,11.4,1140,2243.8,1
Spain,H,0.0965,9.65,965,2211.6,2
France,I,0.0787,7.87,787,2308.0,3
Brazil,C,0.0737,7.37,737,2195.9,4
England,L,0.0559,5.59,559,2167.5,5
Morocco,C,0.0516,5.16,516,2123.9,6
Portugal,K,0.0403,4.03,403,2060.6,7
Mexico,A,0.0374,3.74,374,2070.8,8
Senegal,I,0.0363,3.63,363,1969.2,9
Colombia,K,0.0335,3.35,335,2130.8,10
Algeria,J,0.0323,3.23,323,1926.1,11
Belgium,G,0.0302,3.02,302,1985.0,12
Japan,F,0.0261,2.61,261,1968.3,13
Australia,D,0.0256,2.56,256,2002.4,14
Germany,E,0.0254,2.54,254,2018.7,15
Ivory Coast,E,0.0251,2.51,251,1985.8,16
Ecuador,E,0.0249,2.49,249,2044.1,17
Norway,I,0.0235,2.35,235,2083.3,18
Netherlands,F,0.0198,1.98,198,2115.7,19
Egypt,G,0.0189,1.89,189,1936.7,20
DR Congo,K,0.0176,1.76,176,1934.9,21
United States,D,0.0176,1.76,176,1978.5,22
Canada,B,0.0169,1.69,169,1898.5,23
Switzerland,B,0.0161,1.61,161,2085.9,24
Sweden,F,0.0145,1.45,145,1884.3,25
Croatia,L,0.0119,1.19,119,2009.6,26
Paraguay,D,0.0107,1.07,107,1992.1,27
Austria,J,0.0078,0.78,78,1912.8,28
Bosnia and Herzegovina,B,0.0053,0.53,53,1806.9,29
Ghana,L,0.0045,0.45,45,1825.6,30
Cape Verde,H,0.0038,0.38,38,1804.4,31
South Africa,A,0.0036,0.36,36,1712.6,32
Turkey,D,0.0,0.0,0,2026.4,33
Scotland,C,0.0,0.0,0,1864.1,34
Haiti,C,0.0,0.0,0,1711.7,35
Qatar,B,0.0,0.0,0,1551.7,36
Czech Republic,A,0.0,0.0,0,1709.7,37
South Korea,A,0.0,0.0,0,1812.4,38
Curaçao,E,0.0,0.0,0,1697.0,39
Tunisia,F,0.0,0.0,0,1641.4,40
Uruguay,H,0.0,0.0,0,1871.5,41
Saudi Arabia,H,0.0,0.0,0,1771.8,42
Iran,G,0.0,0.0,0,1908.0,43
New Zealand,G,0.0,0.0,0,1670.6,44
Jordan,J,0.0,0.0,0,1700.1,45
Iraq,I,0.0,0.0,0,1689.6,46
Uzbekistan,K,0.0,0.0,0,1682.1,47
Panama,L,0.0,0.0,0,1709.8,48
